ReversiRules.ts,11
ReversiState.ts,3
ReversiTutorial.ts,1
Rules.ts,3
RulesFailure.ts,9
server-page.component.ts,11
settings.component.ts,4
sahara.component.ts,11
SaharaFailure.ts,6
SaharaMinimax.ts,2
SaharaMove.ts,9
SaharaRules.ts,7
SaharaState.ts,1
SaharaTutorial.ts,3
siam.component.ts,21
SiamFailure.ts,5
SiamMinimax.ts,2
SiamMove.ts,9
SiamPiece.ts,9
SiamRules.ts,21
SiamState.ts,2
SiamTutorial.ts,1
six.component.ts,23
SixFailure.ts,7
SixMinimax.ts,28
SixMove.ts,6
SixRules.ts,19
SixState.ts,18
SixTutorial.ts,6
Sets.ts,3
TriangularGameComponent.ts,9
tutorial-game-creation.component.ts,3
tutorial-game-wrapper.component.ts,26
TutorialFailure.ts,2
TutorialStep.ts,22
toggle-visibility.directive.ts,2
tafl.component.ts,21
TaflEscapeThenPieceThenControl.ts,6
TaflFailure.ts,5
TaflMinimax.ts,5
TaflMove.ts,3
TaflPawn.ts,2
TaflPieceAndControlMinimax.ts,1
TaflPieceAndInfluenceMinimax.ts,10
TaflRules.ts,23
TaflState.ts,4
tablut.component.ts,1
TablutMove.ts,3
TablutRules.ts,2
TablutState.ts,2
TablutTutorial.ts,1
TriangularCheckerBoard.ts,3
TriangularGameState.ts,2
ThemeService.ts,6
UserDAO.ts,9
UserService.ts,2
UserSettingsService.ts,5
utils.ts,2
verify-account.component.ts,12
welcome.component.ts,8
yinsh.component.ts,41
YinshFailure.ts,9
YinshMinimax.ts,13
YinshMove.ts,15
YinshPiece.ts,6
YinshRules.ts,23
YinshState.ts,9
YinshTutorial.ts,5
